Slide,Section,Hardware,User Action,Firmware / API,Display / Output,Notes
1,System Overview — 4 PCBs,All boards,"User connects phone or PC to Wi-Fi AP (SSID: ESP32-Oscilloscope). System powered by PCB 2 rails: 3.3 V LDO / 5 V LDO / −5 V rail.",ESP32-S3 on PCB 1 hosts SoftAP + HTTP server on port 80,Browser loads full single-page web app from flash (INDEX_HTML ~50 KB),"PCB 1: DMM + ESP32 node | PCB 2: Power supply (fixed rails + programmable supply) | PCB 3: Waveform generator | PCB 4: Oscilloscope"
2,System Overview,PCB 1 — DMM / ESP32 Node,Page load,"GET / served from PROGMEM; JS calls GET /control-state to restore waveform + supply settings",Oscilloscope starts polling at 20 fps; waveform and supply fields populate with last-known state,State is re-synced from device on every page load
3,Oscilloscope — Capture,PCB 4 — Oscilloscope (AD7356),Oscilloscope runs automatically; user selects window size (1 / 2 / 4 / 8 ms or custom),"JS sends GET /adc/burst?n=N; firmware on PCB 1 bit-bangs SPI to AD7356 on PCB 4; collects N samples at 60 kHz with deadline scheduling (17 µs period)",Raw 12-bit ADC codes returned as calibrated voltages in JSON (chA / chB arrays),Window 0.1–8.5 ms → 6–510 samples; capped at 512
4,Oscilloscope — Calibration,PCB 4 — Oscilloscope (AD7356),Calibration applied automatically on every burst,"Piecewise linear fit: seg_0 slope=0.000997 intercept=−2.058 (raw<2817); seg_1 slope=0.000990 intercept=−2.038 (raw≥2817)",Voltages plotted on canvas with HiDPI DPR scaling; X-axis ticks in µs or ms,"Fit derived from 3 known amplitude points (1.0 V / 1.5 V / 2.5 V Vpp); coefficients stored in cal_20260327_195422.txt"
5,Oscilloscope — Display Controls,PCB 4 — Oscilloscope (AD7356),User adjusts Y-range (0.5–4 V preset or custom) and vertical center (±1 V preset or manual),No API call — pure client-side display state,Plot redraws with new voltage window; Range and Center status bar updates,Changing range/center does not re-fetch data
6,Oscilloscope — Trigger,PCB 4 — Oscilloscope (AD7356),"User enables trigger; selects rising or falling edge, channel (CH A or CH B), and level voltage","When trigger on: JS requests 2× maxPoints samples for search headroom; findTriggerIndex() scans for first edge crossing","If crossing found: waveform frame snaps to trigger point. If not found: display holds last valid frame (no flicker)","Trigger level drawn as amber dashed line with voltage label on plot"
7,Oscilloscope — Cursors,PCB 4 — Oscilloscope (AD7356),"User clicks Set Cursor A or B, then clicks or drags on plot (mouse or touch)","No API call — cursor ratios stored client-side; interpolateSeries() reads voltage at cursor position","Cursor lines drawn in yellow (A) and cyan (B); Δt and ΔV computed and shown in Cursor Measurements panel","Mobile: touchend reads cursorPreview.ratio set during touchmove (event.touches is empty on finger lift)"
8,Oscilloscope — Signal Measurements,PCB 4 — Oscilloscope (AD7356),Computed automatically after every burst; no user action,computeChannelStats() runs on chA/chB slice: max / min / Vpp / RMS / zero-crossing frequency,"Signal Measurements panel shows Vpp / RMS / Max / Min / Frequency for CH A and CH B",Frequency estimated by counting positive midpoint crossings over sample duration
9,DMM — Resistance,PCB 1 — DMM / ESP32 Node (ADS1115),User clicks Measure on the Resistance card,"GET /ads/measure?ch=0; ADS1115 reads AIN0 at 860 SPS for 500 ms (~430 oversampled); Python-calibrated inverse fit y = 40711274/x − 1522 applied, then piecewise error correction table","Resistance displayed in Ω or kΩ; raw ADC average shown; O.C. flag shown if bits ≤ 0.1","Python script generated 5-point inverse fit from DMM reference measurements: 9.8 Ω – 102 kΩ; R²=1.000; RMSE=9.9 Ω"
10,DMM — Current,PCB 1 — DMM / ESP32 Node (ADS1115),User clicks Measure on the Current card,"GET /ads/measure?ch=1; AIN1 read; Python-calibrated linear fit y = −0.000654·x + 13.373 applied, then piecewise correction","Current displayed in A or mA; raw ADC average shown","Python script generated 6-point linear fit from reference current source: 10 mA – 499 mA; R²=0.9999; RMSE=1.3 mA"
11,DMM — DC Voltage,PCB 1 — DMM / ESP32 Node (ADS1115),User clicks Measure on the DC Voltage card,"GET /ads/measure?ch=2; AIN2–3 differential read; Python-calibrated linear fit y = 0.000210·x + 0.000137 applied, then piecewise correction","Voltage displayed in V; raw ADC average shown","Python script generated 6-point linear fit from precision voltage reference: 1 mV – 5 V; R²=1.000; RMSE=0.3 mV"
12,Programmable Power Supply,PCB 2 — Power Supply (MIC24045),"User types target voltage (0.640–3.420 V or 4.750–5.250 V) and clicks Set","POST /power; firmware validates range, calls mic.setVoltage() → I2C VID code write to MIC24045 → reads back actual voltage + STATUS register","Supply card shows actual output voltage; status flags: Power Good / Overcurrent / Thermal Warning / Thermal Shutdown","PCB 2 also provides fixed 3.3 V LDO, 5 V LDO, and −5 V rail to all other boards. Gap 3.42–4.75 V is hardware-invalid and rejected."
13,Waveform Generator,PCB 3 — Waveform Generator (AD9833),"User selects wave shape (Sine / Triangle / Square), enters frequency; page loads last state automatically","POST /waveform; firmware clamps frequency (0.1–200000 Hz); calls wave.apply() → writes AD9833 frequency register via SPI (25 MHz MCLK)","Waveform status line confirms mode and frequency; AD9833 outputs signal immediately","Amplitude is fixed hardware output for current revision — amplitude calibration not yet implemented"
14,System Boot Sequence,PCB 1 — DMM / ESP32 Node,Device powers on (PCB 2 rails stable),"setup(): Serial → adcSampler.begin() + diagnose() → wavegen.begin() → I2C retry loop 2 s (MIC24045 + ADS1115) → startAccessPoint() → setupServerRoutes() → httpServer().begin()","Startup log buffered in RAM; type ""log"" in serial monitor to replay all init messages","diagnose() checks AD7356 SPI frame structure (leading/trailing bits), pin states, saturation, and burst sample rate"
